Document ID,Remote ID,Filename,Received At,Processed At,Table Data,Table Data 1,Table Data 2,Table Data 3,Table Data 4,Table Data 5,Table Data 6,Table Data 7
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,City of San Diego,,,,,,,
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,Primary Street,1st Cross Street,2nd Cross Street,2009,2010,2011,2012,2013
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,40TH ST,MARLBOROUGH AVE,27000 N,27000,27000 N,27000 N,26300
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,MARLBOROUGH AVE,43RD ST,28100 N,30000,30000 N,30000 N,30000 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,43RD ST,FAIRMOUNT AVE,30600,30600,33700,33700 N,33700 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,FAIRMOUNT AVE,EUCLID AVE,26700 N,28600 E,28600 N,28500,28500 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,EUCLID AVE,54TH ST,25300 N,24300 E,24300 N,22700,25000
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,54TH ST,COLLEGE AVE,24300 N,22100 E,22100 N,22500,22500 N
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,COLLEGE AVE,63RD ST,19600 N,22300,22300 N,22300 N,17000
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,63RD ST,ROLANDO BLVD,18400 N,17700,17700 N,17700 N,20600
365c3373ce58dd5e504658f0d744bcf0,,sandiego_adt.pdf,5/18/2017 1:55,5/18/2017 1:57,EL CAJON BLVD,ROLANDO BLVD,MONTEZUMA RD,25200 N,18600,18600 N,18600 N,18000
